"TAXA_COARSE","STAGE_NAME","SEX_NAME","N","IND_WT_MG_mean","IND_WT_MG_sd"
"Pseudocalanus spp.","ADULT","FEMALE",335,0.0166508652700128,0.0295137745790746
"Pseudocalanus spp.","ADULT","MALE",137,0.00910148033916194,0.0161883669718268
"Pseudocalanus spp.","C - 1 (COPEPODITE I)","",116,0.000282542926564424,0.000313928037010617
"Pseudocalanus spp.","C - 2 (COPEPODITE II)","",118,0.000961607530833455,0.00099737459370028
"Pseudocalanus spp.","C - 3 (COPEPODITE III)","",118,0.00186483879447189,0.00223415655121043
"Pseudocalanus spp.","C - 4 (COPEPODITE IV)","",136,0.00581212753564137,0.0104869063546054
"Pseudocalanus spp.","C - 5 (COPEPODITE V)","",157,0.0121177240567152,0.0228015682584667
"Thaliacea","","",67,2.55192095715742,3.66201854387104
"Themisto libellula","","",43,30.2043787956546,44.2138140858012
"Themisto pacifica","","",348,0.582894594216521,1.46696724406474
"Themisto spp.","","",16,0.0505713916718216,0.0766037109263592
"Thysanoessa inermis","ADULT","FEMALE",16,18.2489554560893,13.60217350742
"Thysanoessa inermis","ADULT","MALE",47,27.5985838970884,25.1515552960955
"Thysanoessa inermis","JUVENILE","",107,13.0596456053429,18.6441035323633
"Thysanoessa inspinata","ADULT","FEMALE",15,17.8445310587155,16.2688579665899
"Thysanoessa inspinata","ADULT","MALE",20,15.1797137078247,9.31486111554767
"Thysanoessa inspinata","JUVENILE","",73,3.2288715720293,6.24398039586112
"Thysanoessa longipes","ADULT","FEMALE",22,30.2940087822296,32.7640275659674
"Thysanoessa longipes","ADULT","MALE",28,17.822468856167,18.3897694805624
"Thysanoessa longipes","JUVENILE","",115,17.8373835493364,31.2192553653252
"Thysanoessa spinifera","ADULT","FEMALE",34,63.9653170532355,59.11483548102
"Thysanoessa spinifera","ADULT","MALE",63,29.3615047314133,26.9322158389455
"Thysanoessa spinifera","JUVENILE","",156,19.4427573635919,41.3466484959847
