ROW,TAXON_NAME,TAXA_COARSE,NOTE
10519,Clione limacina,Clione limacina,
10606,Clione limacina,Clione limacina,
10671,Clione limacina,Clione limacina,
10728,Clione limacina,Clione limacina,
10792,Clione limacina,Clione limacina,
10854,Clione limacina,Clione limacina,
10923,Clione limacina,Clione limacina,
10979,Clione limacina,Clione limacina,
11034,Clione limacina,Clione limacina,
11089,Clione limacina,Clione limacina,
11144,Clione limacina,Clione limacina,
11199,Clione limacina,Clione limacina,
11260,Clione limacina,Clione limacina,
11347,Clione limacina,Clione limacina,
11348,Clione limacina,Clione limacina,
11405,Clione limacina,Clione limacina,
11406,Clione limacina,Clione limacina,
11465,Clione limacina,Clione limacina,
11517,Clione limacina,Clione limacina,
11593,Clione limacina,Clione limacina,
11677,Clione limacina,Clione limacina,
11723,Clione limacina,Clione limacina,
11777,Clione limacina,Clione limacina,
11845,Clione limacina,Clione limacina,
11846,Clione limacina,Clione limacina,
11929,Clione limacina,Clione limacina,
11969,Clione limacina,Clione limacina,
12008,Clione limacina,Clione limacina,
12054,Clione limacina,Clione limacina,
12350,Clione limacina,Clione limacina,
12674,Clione limacina,Clione limacina,
12730,Clione limacina,Clione limacina,
12862,Clione limacina,Clione limacina,
12976,Clione limacina,Clione limacina,
12977,Clione limacina,Clione limacina,
13044,Clione limacina,Clione limacina,
13045,Clione limacina,Clione limacina,
13128,Clione limacina,Clione limacina,
13185,Clione limacina,Clione limacina,
13303,Clione limacina,Clione limacina,
13376,Clione limacina,Clione limacina,
13377,Clione limacina,Clione limacina,
13445,Clione limacina,Clione limacina,
13519,Clione limacina,Clione limacina,
13582,Clione limacina,Clione limacina,
13637,Clione limacina,Clione limacina,
13693,Clione limacina,Clione limacina,
13694,Clione limacina,Clione limacina,
13746,Clione limacina,Clione limacina,
13747,Clione limacina,Clione limacina,
13804,Clione limacina,Clione limacina,
13805,Clione limacina,Clione limacina,
13922,Clione limacina,Clione limacina,
14749,Clione limacina,Clione limacina,
14928,Clione limacina,Clione limacina,
15094,Clione limacina,Clione limacina,
15565,Clione limacina,Clione limacina,
15566,Clione limacina,Clione limacina,
15672,Clione limacina,Clione limacina,
15787,Clione limacina,Clione limacina,
15869,Clione limacina,Clione limacina,
16071,Clione limacina,Clione limacina,
16132,Clione limacina,Clione limacina,
16373,Clione limacina,Clione limacina,
16374,Clione limacina,Clione limacina,
16421,Clione limacina,Clione limacina,
16476,Clione limacina,Clione limacina,
16528,Clione limacina,Clione limacina,
16586,Clione limacina,Clione limacina,
16659,Clione limacina,Clione limacina,
16721,Clione limacina,Clione limacina,
